time=1661421754.3459845 Pos: [7.2925 0.     0.8775] angle 0
time=1661421754.3892033 Pos: [7.3325 0.     0.8775] angle 0
time=1661421754.4414117 Pos: [7.3725 0.     0.8775] angle 0
time=1661421754.4901536 Pos: [7.4125 0.     0.8775] angle 0
time=1661421754.5332417 Pos: [7.4525 0.     0.8775] angle 0
time=1661421754.576478 Pos: [7.4925 0.     0.8775] angle 0
time=1661421754.6196866 Pos: [7.5325 0.     0.8775] angle 0
time=1661421754.6635075 Pos: [7.5725 0.     0.8775] angle 0
time=1661421754.708307 Pos: [7.6125 0.     0.8775] angle 0
time=1661421754.752211 Pos: [7.6525 0.     0.8775] angle 0
time=1661421754.7946985 Pos: [7.6925 0.     0.8775] angle 0
time=1661421754.8368988 Pos: [7.7325 0.     0.8775] angle 0
time=1661421754.8798134 Pos: [7.7725 0.     0.8775] angle 0
time=1661421754.9261675 Pos: [7.8125 0.     0.8775] angle 0
time=1661421754.9702976 Pos: [7.8525 0.     0.8775] angle 0
time=1661421755.0148158 Pos: [7.8925 0.     0.8775] angle 0
time=1661421755.0582666 Pos: [7.9325 0.     0.8775] angle 0
time=1661421755.101915 Pos: [7.9725 0.     0.8775] angle 0
time=1661421755.144704 Pos: [8.0125 0.     0.8775] angle 0
time=1661421755.1887655 Pos: [8.0525 0.     0.8775] angle 0
time=1661421755.2334607 Pos: [8.0925 0.     0.8775] angle 0
time=1661421755.2781103 Pos: [8.1325 0.     0.8775] angle 0
time=1661421755.3216865 Pos: [8.1725 0.     0.8775] angle 0
time=1661421755.3642304 Pos: [8.2125 0.     0.8775] angle 0
time=1661421755.4079711 Pos: [8.2525 0.     0.8775] angle 0
time=1661421755.4509122 Pos: [8.2925 0.     0.8775] angle 0
time=1661421755.5030708 Pos: [8.3325 0.     0.8775] angle 0
time=1661421755.5469713 Pos: [8.3725 0.     0.8775] angle 0
time=1661421755.5896592 Pos: [8.4125 0.     0.8775] angle 0
time=1661421755.6328807 Pos: [8.4525 0.     0.8775] angle 0
time=1661421755.6750457 Pos: [8.4925 0.     0.8775] angle 0
time=1661421755.717653 Pos: [8.5325 0.     0.8775] angle 0
time=1661421755.7605839 Pos: [8.5725 0.     0.8775] angle 0
time=1661421755.804298 Pos: [8.6125 0.     0.8775] angle 0
time=1661421755.848415 Pos: [8.6525 0.     0.8775] angle 0
time=1661421755.8912456 Pos: [8.6925 0.     0.8775] angle 0
time=1661421755.935279 Pos: [8.7325 0.     0.8775] angle 0
time=1661421755.9950762 Pos: [8.7725 0.     0.8775] angle 0
time=1661421756.0397956 Pos: [8.8125 0.     0.8775] angle 0
time=1661421756.0829923 Pos: [8.8525 0.     0.8775] angle 0
time=1661421756.1272898 Pos: [8.8925 0.     0.8775] angle 0
time=1661421756.1716828 Pos: [8.9325 0.     0.8775] angle 0
time=1661421756.214371 Pos: [8.9725 0.     0.8775] angle 0
time=1661421756.2571256 Pos: [9.0125 0.     0.8775] angle 0
time=1661421756.3002598 Pos: [9.0525 0.     0.8775] angle 0
time=1661421756.3448765 Pos: [9.0925 0.     0.8775] angle 0
time=1661421756.38691 Pos: [9.1325 0.     0.8775] angle 0
time=1661421756.43044 Pos: [9.1725 0.     0.8775] angle 0
time=1661421756.4740736 Pos: [9.2125 0.     0.8775] angle 0
time=1661421756.519603 Pos: [9.2525 0.     0.8775] angle 0
time=1661421756.563279 Pos: [9.2925 0.     0.8775] angle 0
time=1661421756.6066842 Pos: [9.3325 0.     0.8775] angle 0
time=1661421756.6504617 Pos: [9.3725 0.     0.8775] angle 0
time=1661421756.6931696 Pos: [9.4125 0.     0.8775] angle 0
time=1661421756.7350867 Pos: [9.4525 0.     0.8775] angle 0
time=1661421756.7763975 Pos: [9.4925 0.     0.8775] angle 0
time=1661421756.8199112 Pos: [9.5325 0.     0.8775] angle 0
time=1661421756.8636644 Pos: [9.5725 0.     0.8775] angle 0
time=1661421756.9055722 Pos: [9.6125 0.     0.8775] angle 0
time=1661421756.9474509 Pos: [9.6525 0.     0.8775] angle 0
time=1661421756.9910917 Pos: [9.6925 0.     0.8775] angle 0
time=1661421757.041148 Pos: [9.7325 0.     0.8775] angle 0
time=1661421757.084407 Pos: [9.7725 0.     0.8775] angle 0
time=1661421757.1269507 Pos: [9.8125 0.     0.8775] angle 0
time=1661421757.1690297 Pos: [9.8525 0.     0.8775] angle 0
time=1661421757.209633 Pos: [9.8925 0.     0.8775] angle 0
time=1661421757.2519944 Pos: [9.9325 0.     0.8775] angle 0
time=1661421757.2948723 Pos: [9.9725 0.     0.8775] angle 0
time=1661421757.3366134 Pos: [10.0125  0.      0.8775] angle 0
time=1661421757.377214 Pos: [10.0525  0.      0.8775] angle 0
time=1661421757.4185371 Pos: [10.0925  0.      0.8775] angle 0
time=1661421757.4599054 Pos: [10.1325  0.      0.8775] angle 0
time=1661421757.4997175 Pos: [10.1725  0.      0.8775] angle 0
time=1661421757.541868 Pos: [10.2125  0.      0.8775] angle 0
time=1661421757.5839105 Pos: [10.2525  0.      0.8775] angle 0
time=1661421757.6294732 Pos: [10.2925  0.      0.8775] angle 0
time=1661421757.684764 Pos: [10.3325  0.      0.8775] angle 0
time=1661421757.7295966 Pos: [10.3725  0.      0.8775] angle 0
time=1661421757.7753072 Pos: [10.4125  0.      0.8775] angle 0
time=1661421757.8318377 Pos: [10.4525  0.      0.8775] angle 0
time=1661421757.8811655 Pos: [10.4925  0.      0.8775] angle 0
time=1661421757.9260898 Pos: [10.5325  0.      0.8775] angle 0
time=1661421757.9718637 Pos: [10.5725  0.      0.8775] angle 0
time=1661421758.0124652 Pos: [10.6125  0.      0.8775] angle 0
time=1661421758.0619912 Pos: [10.6525  0.      0.8775] angle 0
time=1661421758.1060226 Pos: [10.6925  0.      0.8775] angle 0
time=1661421758.1477773 Pos: [10.7325  0.      0.8775] angle 0
time=1661421758.1894052 Pos: [10.7725  0.      0.8775] angle 0
time=1661421758.2308452 Pos: [10.8125  0.      0.8775] angle 0
time=1661421758.270614 Pos: [10.8525  0.      0.8775] angle 0
time=1661421758.3112855 Pos: [10.8925  0.      0.8775] angle 0
time=1661421758.3511224 Pos: [10.9325  0.      0.8775] angle 0
time=1661421758.3909907 Pos: [10.9725  0.      0.8775] angle 0
time=1661421758.4307294 Pos: [11.0125  0.      0.8775] angle 0
time=1661421758.470671 Pos: [11.0525  0.      0.8775] angle 0
time=1661421758.512419 Pos: [11.0925  0.      0.8775] angle 0
time=1661421758.5570123 Pos: [11.1325  0.      0.8775] angle 0
time=1661421758.6057878 Pos: [11.1725  0.      0.8775] angle 0
time=1661421758.6451788 Pos: [11.2125  0.      0.8775] angle 0
time=1661421758.6867628 Pos: [11.2525  0.      0.8775] angle 0
time=1661421758.7270744 Pos: [11.2925  0.      0.8775] angle 0
time=1661421758.7677617 Pos: [11.3325  0.      0.8775] angle 0
time=1661421758.8088152 Pos: [11.3725  0.      0.8775] angle 0
time=1661421758.8494248 Pos: [11.4125  0.      0.8775] angle 0
time=1661421758.8906722 Pos: [11.4525  0.      0.8775] angle 0
time=1661421758.9308393 Pos: [11.4925  0.      0.8775] angle 0
time=1661421758.9704926 Pos: [11.5325  0.      0.8775] angle 0
time=1661421759.0124118 Pos: [11.5725  0.      0.8775] angle 0
time=1661421759.052266 Pos: [11.6125  0.      0.8775] angle 0
